Mwaghavul,pl,PoS,IPA,Gloss,Examples
mpèe,,πρὲὲ,due to; in order to; for,"mpèe des kì lée ni dee mo gìshishàsh ki ni dak Due to the size of the load, they had to struggle gishishàsh to lift it mo ki tàng a ngo diiweel-weel mpèe taalung it is a very slim person that is preferred for swimming. Ri tang long mpèe jep firi mo He sought wealth for his children",
mpèe diidang ye,,"""pèε diidan γε",where?,cf. also nne ye. Manret ki so a mpee diidang ye 'Manret PROG go FOC where Q' Where is Manret going?,
mpèe me ye,,"""pèε mě yε",Why?,Ri nas ra a mpèe me ye? Why did he beat her?,
mpèe naa nyit,,"m ""pèè náá ""yīt",describes doing s.t. insincerely to garner praise,also mù naa nyit,
mpeeɓang,,πρεσβάη mpèèdi,at daybreak; early in the morning due to; because of,mo ji a mpeeɓang came they daybreak at,
mpeedi mpeeku,,"mpèèdi m ""pěčkú",because of; as a result of so that,,
mpeemini,,"""pèèmìnī",so; because of that; in view of that; consequently,"an ki shaghal, mpeemini an ndik lu I have money, so I will build a house",
mpeeririi,,"m m ""pεεririi",at dusk; late in the evening,also mpeeshishaal,
mpeeshishaal,,"""pēεfifáál",at dusk; late in the evening,also mpeeririi,
mpep,,mpèp,beard,,
mpesi,,mpēsi,here,mee ghii sham del mpesi ki kom yalpàt-yàlpàt A certain goat just passed down here with its ears hanging yàlpàt- yàlpàt,
mpet,,mpét,broom; brush,,
mpilwus mpidok,,"""pilwūs mpidok",firefly; glow worm silently; quietly,Lampyridae. Flashes on and off in the night. Lit. 'dazzle fire'. Also mbilwus ,
mpɨɗok,,adv.,silently; quietly,also mpuɗok. cf. titik,
mpilelel,,mpílélél,strong grass used as local broom,"also mpileler, pipilet",
mpileler,,mpílélér,strong grass used as local broom,"also mpilelel, pipilet",
mpɨrampas,,mpirámpās,dragonfly,also nkɨrampas. Odontidae. Found over ponds and rivers,
mpuɗok,,mpùdok,silently; quietly,also mpidok. cf. titik,
mpulpul,,mpúlpùl,butterfly; moth,Lepidoptera,
mpuus,,mpūūs ,during the day ,,
 mpuus anaar,,ānāār mpūūs ,at noon,,
mpuus kikàa,,"""pūūs kīkàà  ",east; eastern; eastward; easterly ,also nkoghop mpuuskàa,
mpuus kikàa,,pūūs kikàà,eastward; easterly,also nkoghop mpuuskàa,
mpuus rɨru,,"""pūūs rīru",west; western; westward; westerly, also nkoghop  mpuusru,
mpuus riru,,pūūs rīru,westward; westerly,also nkoghop mpuusru,
mpwaar,,"m ""pwāār",centipede; any insect that burns the skin,,
mpyèem,mo mo,mpyèèm mpyεér,biting fly termite sp,Tabanidae. Gives a painful bite. Found from September onwards. less destructive,
mpyeer,,,sp,"termite that lives in a small anthill and hardly leaves it. cf. njar, nfwash",
mu ,,mū ,"we (inclusive, non-aspectual)","first person plural subject pronoun. The exclusive form is mumun, while the aspectual and object form is mun",
mù,,mù, of; for , fwaap pel diisi ni a mù nhaaghir the smell of the flower is that of Plateau berry. Sushii mu Delvit ni meer / paar / del mu Puttaa The running of Delvit surpasses that of Puttaa. Can be replaced by compensatory vowel lengthening in informal speech. See also ki,
mù naa nyit,,mù náá nyīt,describes doing s.t insincerely to garner praise,,also mpèe naa nyit
mu rák,,mù rák ,not minding the consequences ,,
mubat,,mùbīn,nail (metal),,
mubin,,mubiŋ,smallpox,"also ngorzol, dwáng",
mudang,,mudāŋ,boy whose circumcision period has not formally ended,"also midang. Newly circumcised boys cannot eat pepper, left-over food or a grasshoppers. The spikes on grasshopper leg can damage a child's penis and they will suffer all their life",
Mùdèl,,mudel,area Mwaghavul ancestors stayed on their sojourn before settling in their present abode,"they also stayed at Mùdùut, Gúng, Kofyár, Difirì, Fwàm, Mwàanwoo",
Mùdùghùt,,mùdùyùt,area where the ancestors stayed before settling in their present territory,"also Mùdùut. They also stayed at Mùdel, Gúng, Kofyár, Dìfirì, Fwàm, Mwàanwòo",
Mùdùut ,,mùdùùt ,area where the ancestors stayed before settling in their present territory yours (pl.),also Mudughut ,
mughu,,mùyu,yours (pl.),second person plural possessive pronoun cf. fughu,
muk,mwak,"muk, mwak", to sip,,
mukam,,mùkám,lesson in class,,
mul,,múl,to rub in too much of s.t,,
mul,,"múl, mūlāp",to insult s.o,"by twitching your tongue, lips, eyes or any part of the face",
mùl,mulap,múl,s.o. tasteless (cereal drink),,
mùl,,mùl,looking silly (someone),,
mulam,,mūlām,to rub in little of s.t,also milam,
múlàm,,múlàm,to be slippery,also mílàm,
mulap,,mūlāp,to insult s.o. (pl.),cf. mul sg,
mulgut,,mùlgut,mesmerism; hypnotism,,
mulilal,,mūlīlāl,"local skiing on a slippery rock using leaves, stone or pumpkin","also mbilalar, mulilal",
mulok,,mùlɔ̀k,to burn; to wound; to scald (pl.),cf. meen sg,
mùlòk,,mùlɔ̀k,describes the severity of s.o. or s.t. getting burnt; wounded or scalded,,
mulpee,mulappee,"mulp, mūlāppεē",to insult someone,or by squeezing twitching the face,
mulpee,mulappee,"mulp, mūlāppēε",non-verbal insults,involves squeezing or twitching the face,
mulum,,mùlùm,algae; slime,,
mulum,,mùlùm,to paint s.t,,
muluu,,múlúú,pumpkin,"Cucurbita pepo, C. moschata. mmuluu Also",
muluu,,múlúú,white man,white men are seen as looking like pumpkins,
mumo,,mùmŏ,theirs,mumo ret naa theirs is good- looking,
mumo,,mùmă,they; them (exclusive),cf. mo,
mumun,,mùmun,we; us (exclusive),"Mumun nkaa cìn dak we are working. cf. mu, mun",
mun,,mún,we; us (inclusive),"first person plural object pronoun. Also plural subject pronoun when used with aspects, e.g. the habitual (ki), progressive (pu, pe, ki), perfective (ki) and such verbal auxiliaries as ndùng or a àr (be about to). Mun ndùng so wàa we are about to go home. cf. mu, mumun",
munder,,mūnder,to forget,also mander,
munder,,mūndār,forgetfulness,also mander,
mundùlùng,,mundùlùŋ,describes how a long fat worm or other legless animal or a plant like a yam tuber lies in one place inert but without projections,"wuri shang mee lèe dughurii si mùndùlùng he dug out a large yam tuber, mundùlùng",
munu,,mùnú,ours,first person plural possessive pronoun,
muram,,mùràm,"marshy, muddy area; swamp",,
murap,,mūrāp,to faint,làa ni teer murap the child fainted during the night cf. muutbaat,
murap,,V.,mūrāp,to die,plural of muut
murap,,V.,mūrāp,to be weak,(body or joints)
murdu,,n.,mùrdù,pair of trousers; shorts; 'short knicker',
muriin,,نے,mùrīīn,image of human or animal,
muru,,pron.,mùrů,theirs,third person plural possessive pronoun.
murumdyel,,n.,mùrùmd'él,boil,lump Superficial which appears and dries up after a few days. H. maruru
Muse,,p.n.,mūsē,Tiv people,
musuk,,n.,músūk,fact of you being alone (pl.),plural of misak and mishik
musut,,n.,músūt,fact of people being alone,plural of misat and mishin
muur,,n.,mùùr,fat,
muur,,S.V.,mùùr,to be fatty (meat),
muut,,n.,mūūt,sickness; disease; illness; source of infection; malady,cf. shwàl.
múut,,n.,múút,death,cf. wen
mùut,murap,V.,"mùùt, mūrāp",to die,cf. wen
mùut aghas,,n.p.,mùùt àɣás,toothache,"Starts with one tooth and then spreads to others. Decay is in the root of the tooth. In another type, a hole forms in the tooth and it becomes sensitive to cold water. Also, happens when the gum begins to erode and the root of the tooth is exposed. H. ciwon hakori"
muut ɓwoon,,n.p.,"mùùt ɓ""bón",waist pain; backache,also shwàl ɓwoon. Pain in the muscles of the back
mùut cìi,,n.p.,mùùt tr,sharp bone pain,"Also kùm kam, nkúzùm. Incapacitates the sufferer. Spiritual cause. Treatment is through sacrifice known as kùm kam, nkúzùm"
mùut diil,,n.p.,mùùt dil,hydrocele,Enlargement of the testicles. H. gwaiwa
mùut féel,,n.p.,mùùt féél,goitre,The throat gradually swells and forms a huge mass under the chin. H. makoko
mùut káa,,v.p.,mùùt khá,to be shady; to be shadowed,
muut káa,,n.p.,mùùt khá,shadiness,
muut kaam,,n.p.,mùùt kààm,HIV/AIDS widespread illness such as,
muut kaap,,n.p.,muut kāāp,prostate cancer,lit. 'disease of baboon'.
muut koghop,,n.p.,mùùt kòyp,rib pain,Also kàm bàng. Acute pain in the ribs. cause. Spiritual Treated through a kum sacrifice
muut kom,,n.p.,mùùt kim,ear pain,"Also tiles. The ears are painful, and emit pus. H. ciwon kunne"
muut kùràm,,n.p.,mùùt kùràm,stroke,Also yàa kūrām. Freezing of the body and mental deterioration.
muut mat,,n.p.,"""àl mat",sexually disease transmitted,(reference by men). Also shwal mat
mùut mish,,n.p.,"S""àl mis",sexually disease transmitted,(reference women). shwal mish by Also
mùut mmìlók,,n.p.,"mùùt ""mìlók",nose bleed,Can be following an injury to the nose or can be persistent due to some internal weakness. H. habo
muut pas,,n.p.,mùùt pās,whitlow,It appears like a thorn stuck in the skin of the hand but continues to grow. Cured by a herbal bandage. lit. 'disease of arrow'
mùut pider,,n.p.,mùùt pìder,dysentery in children,"Fruit of mmawe, physic nut, is boiled and inserted in the child's anus through a straw. H. kurga"
mùut sàam,,n.p,mùùt sààm,sleeping sickness,"believed to result from confinement of the soul, riin, in the spirit world"
mùut shawara,,n.p,mùùt ʃáwárà,jaundice; hepatitis,‘yellow fever’. Also kùm jwák
mùut shuga,,n.p,mùùt ʃúgà,diabetes,
mùut shwàghar,,n.p,mùùt ʃwàɣàr,painful bloody urination,
mùut sɨghɨm,,n.p,mùùt s�̄ɣ�̄m,tuberculosis,H. fùkā
mùut tár,,n.p,mùùt tár,mental illness,"The patient is initially calm, but then begins to talk in an uncontrolled way. H. hauka, taban hankali"
mùut tep ntook,,n.p,mùùt tɛ̄ p ntɔɔ́ ́k,cerebrospinal meningitis; CSM,this was formerly a common and deadly epidemic in the dry season. H. sankaro
mùut tughurkaat,,n.p,mùùt túɣúrkāāt,sudden inability to swallow food or drink,"especially dry foods such as cassava, yam. The chest becomes stiff and the breathing is affected. The patient is given a remedy of a type of mushroom or the dùwó plant"
mùut wur,,n.p,mùùt wūr,breast cancer,The breast becomes hard and a child is unable to suck
mùut yit,,n.p,mùùt yīt,eye disease,H. ciwon iɗo
mùut zung,,n.p,mùut zùŋ,chest pain,
muutɓaat,,v,mùùtɓáát,to faint,làa ni teer muutɓaat the child fainted during the night. cf. murap
muutleet,,n,mùùt lɛɛ́ ́t,feeling of discouragement; weariness,
muutleet,,v,mùùt lɛɛ́ ́t,to be discouraged; to be weary; to be downcast,
mùwet,,n,mùwɛ́t,commission,percentage paid to s.o. for services or sale of goods contracted through him
muwur,,n,mùwúr,ornament used to decorate horses,"It is long and wide, and placed between the eyes of the horse from the forehead to the nose"
muyer,,n,mùyɛ̄ r,farm,behind the house where women can plant melon and other small crops cf. bòng yer
muyii,,n,"mùyíí, múyíí",history; chronicle; narration,
mwaal,,v,mwáál,to conceal; to hide s.t,from public view
mwaan,,n,mwāān,friend of the same age group,
mwaan,,n,mwāān,man whose wife is from the same house as your wife,
mwàan,,v,mwààn,to walk; to travel; to move,
mwàan,,v,mwààn,to flow (water),ba am kɨ mwàan nɗin ar kas water cannot flow without a channel
mwàan aɗeng,,v.p,mwààn āɗɛ́ŋ,to float,mwàan āɗēng àm To float on the water
mwàan shwaa,,n.p,mwààn ʃwāā,prostitute; woman of easy virtue; harlot; whore; promiscuous woman,
mwaanaa,,n,mwàànàà,jealousy,of the success of s.o. and saying malicious things about them
mwaanlee,,excl,mwàànlɛɛ̄,Welcome!,
Mwaanwoo,,p.n,mwàànwɔɔ̀,area,where the ancestors of the Mwaghavul stayed before finally settling in their present site see Mutdel
mwaar,,n,mwāār,sediment; turbid water remaining,
mwaar,,n,mwāār,land full of debris,
mwaar,,n,mwāār,cereal drink full of sediment,
Mwaar,,p.n,mwāār,area in Cakfem,
mwaghal,,s.v,mwāɣāl,to be fat; to be big; to be plumpy,
mwaghalak,,n,mwàɣàlàk,rubber vine,Saba florida. H. ciiwo. Sour fruit that is favourite of monkeys etc
mwaghal- mwaghal,,id,mwāɣāl- mwāɣāl,describes s.t. or s.o. who is very fat,
Mwaghavul,,p.n,mwāɣāvūl,Mwaghavul people and language,"A possible etymology is mwagha-vul i.e. yours are two, mwo-avul, meaning they are always two or in pairs, or mwan-vul i.e. travelling in twos"
mwak,,v,mwāk,to sip (pl.),cf. muk
mwan,,v,mwān,to be sparse (plants growing on their own); to be left here and there (plants that have survived a harsh condition or treatment),Mbwagham ni mo kɨ mwan ɗi mbong ni The broomweeds appear sparsely on the farm. cf. sɨr
mwàsh,,n,mwàʃ,pus from a sore,
mwat,,n,mwát,groin; private parts; genitals,
mwat,,n,mwát,"fertile and soft, productive land",
mweer,,s.v,mwɛɛ̄ r,to be twisted; to twist,
mweer,,s.v,mwɛɛ̄ r,to kill by strangulation; to strangle,
mwen,,n,mwɛ́n,fool; foolishness; idiot; stupid person; twit; nincompoop,
mwen jep,,n.p,mwɛ̀n ʤɛ́p,childishness; puerility,
mwol,,n,mwɔ́l,family,
mwol,,n,mwɔ́l,man with same father but different mother,
mwolshak,,n,mwɔ̀l ʃàk,man with same father but different mother,
mwolshak,,n,mwɔ̀l ʃàk,people from the same family,
mwóor,,a,mwɔɔ́ ́r,same as; carbon copy; identical to; matching,
mwòor,,n,mwɔ̀ɔ̀r,oil; grease; ointment; cream; pomade,
mwòor k�̀ɨr,,n.p,mwɔɔ̀ ̀r k��̀ ̀r,silk cotton tree; kapok,Ceiba pentandra
mwòor kóm,,n.p,mwɔɔ̀ ̀r kɔ́m,groundnut oil,
mwòor páat,,n.p.,W mwòòr páát,canarium oil,"used for anointing etc.; oil extracted from atili. This oil is great of significance to the Mwaghavul person, it is applied to boiled meat while hosting important visitors. It is poured on drinks during velang dance. It is believed to be the cure for many ailments. It is also used in anointing a newly wed woman by her in-laws. Canarium schweinfurthii."
mwoor pwos,,n.p.,W W moor pos,body cream,
mwòor zèm,,n.p.,mwoor zèm,shea butter,
mwoor (m)ma(r)we,,n.p.,W mwoor (m)mà(r)wè,oil from the physic nut,medicinal. Jatropha curcas
mwoor bang,,n.p.,mwòòr báŋ W,oil-palm; palm-oil,Elaeis guineensis
mwoor kungtup,,n.p.,"W m""ɔɔr kùn tùp",shea butter,
mwòor tén,,n.p.,mwòòr tén,mahogany oil,bitter oil (applied on wounds used deworming) and for
mwoot,,V.,mwòòt,to stone; to throw s.t. at an object,
mwoot kam,,v.p.,mwòòt kām,to hit with a stick,
mwoot sár,,v.p.,mwòòt sár,to hit with the hand; to slap,
mwos,,n.,mwos,local sorghum or millet beer made from,also production mos. takes two days.
mwos daa,,n.p.,mos daa,locally brewed beer,lit. 'calabash beer'
mwos miyel,,n.p.,mos miyēl,industrially brewed beer,
mwos shaar,,p.n,mwɔ̀s ʃāār,festival,"held by elderly women according to their age-groups to cement their relationships, during the occasion they brew local beer among other things to entertain their members and their well-wishers. They organise local dance, usually the ceremony lasts for a few days"
mya(a)l,,n,myá(á)l,dry tears; slimy substance in one’s eyes when one wakes up from sleep in the morning; rheum,also mɨmyaal
myaal,,v,myáál,to request food from s.o. using indirect gestures and not words,
myaar,,s.v,myāār,"to be well-fed, overweight, fat, plumpy person or animal",
myas,,v,myās,to drink plenty of water,plural of shwaa
myeer,,n,myɛɛ́ ́r,bud; shoot; sprout,also mɨmyeer
myeer ngang,,n.p,myɛɛ́ ́r ngàŋ,central part of the shoot of fan palm,"It is eaten either roasted or cooked. Also dup ngang, mbyol ngang"
